Examination,Date,Question Number,Question Type,Standard,Cluster,Domain,Scoring Key,1,2,3,4,Blank,Question,Percentage Correct,Standard.Cluster,,
Algebra I,Jan. '15,1,MC,A-SSE,A,Seeing Structure in Expressions,2,12.71%,74.33%,4.89%,7.85%,0.23%,https://docs.google.com/a/newvisions.org/document/d/1vW1BYFgTltg5ww3m89JGlQaQkF5SN_C4g9Cb1fnCNf0/edit?usp=drivesdk,0.74,A-SSE.A,,
Algebra I,Jan. '15,2,MC,N-Q,A,Quantities,2,41.46%,34.29%,13.96%,9.75%,0.53%,https://docs.google.com/a/newvisions.org/document/d/10XsEQn-DTAkXMyyi5NzYDPaWkSms_aRFQLiZa0JxRQw/edit?usp=drivesdk,0.34,N-Q.A,,
Algebra I,Jan. '15,3,MC,A-SSE,B,Seeing Structure in Expressions,4,13.39%,36.68%,19.13%,30.26%,0.55%,https://docs.google.com/a/newvisions.org/document/d/1rUhRvyBz1kyN-SWERMYORxAHFLHPYooAxhdKhh5qkSE/edit?usp=drivesdk,0.30,A-SSE.B,,
Algebra I,Jan. '15,4,MC,F-BF,A,Building Functions,1,36.20%,7.04%,47.15%,9.25%,0.35%,https://docs.google.com/a/newvisions.org/document/d/1pUBX8yEYVVF7biKYOo8OilfHBhMCTvBD3Bo8FJEEemY/edit?usp=drivesdk,0.36,F-BF.A,,
Algebra I,Jan. '15,5,MC,F-LE,A,"Linear, Quadratic, and Exponential Models",3,10.80%,23.44%,47.93%,17.47%,0.35%,https://docs.google.com/a/newvisions.org/document/d/1eTTODEoREbencyqiseIzKGulAyDD1UOUH4rRub7B_5I/edit?usp=drivesdk,0.48,F-LE.A,,
Algebra I,Jan. '15,6,MC,F-IF,B,Interpreting Functions,2,19.63%,48.88%,10.03%,20.88%,0.58%,https://docs.google.com/a/newvisions.org/document/d/1NZ2_DyuM_pu8bGztEoy48YDHBD2tzWdvblezLUbzlLM/edit?usp=drivesdk,0.49,F-IF.B,,
Algebra I,Jan. '15,7,MC,A-REI,B,Reasoning with Equations and Inequalities,1,22.16%,25.72%,27.73%,23.49%,0.90%,https://docs.google.com/a/newvisions.org/document/d/12FM9TZGRxVnJbz3UA885s48tBXFUkQCsz2HDc5Xw5ZY/edit?usp=drivesdk,0.22,A-REI.B,,
Algebra I,Jan. '15,8,MC,F-IF,A,Interpreting Functions,1,38.36%,12.21%,22.99%,25.87%,0.58%,https://docs.google.com/a/newvisions.org/document/d/1Y5QnOaXRqj7MV2T7LRWfzJ5TSeiiFTjYNdE97YJb6h8/edit?usp=drivesdk,0.38,F-IF.A,,
Algebra I,Jan. '15,9,MC,F-IF,C,Interpreting Functions,4,16.65%,15.84%,20.68%,46.15%,0.68%,https://docs.google.com/a/newvisions.org/document/d/1Y3-GLYYuckYN6KEoqVgdjhVtAdzL1WzStOylyPIeR_M/edit?usp=drivesdk,0.46,F-IF.C,,
Algebra I,Jan. '15,10,MC,A-APR,A,Arithmetic with Polynomials and Rational Expressions,2,43.47%,34.77%,10.15%,11.16%,0.45%,https://docs.google.com/a/newvisions.org/document/d/1MDUC5RmKbWWgVeUDpYKNITLwPDj8XfG-v4JB5T0NA1A/edit?usp=drivesdk,0.35,A-APR.A,,
